Короткий Адрес,Широта,Долгота
"Тазетдинова, 4",55.807643,49.230462
"Проезд Яраткан, 4",55.762059,49.200468
"Журналистов, 46А",55.817335,49.191907
"Кутуя, 100",55.781666,49.187729
"Яратам Жилой Комплекс, К5",55.773849,49.206657
"Луговая, 52",55.823692,49.050629
"Ачинская, 30",55.738201,49.149282
"Симонова, 11",55.86498,49.090424
"Нокса Парк Жк, 3",55.805614,49.22527
"Бухарская, 5",55.777343,49.201132
"Халитова, 2",55.819327,49.186292
"Аббасова, 23",55.786733,49.253585
"Проезд Яраткан, 4В",55.760236,49.198177
"Достоевского, 82/1",55.786516,49.160699
"Пугачевская, 47",55.783969,49.159531
"Бухарская, 32 К1",55.773272,49.206567
"Фучика, 30А",55.742838,49.214167
"Проезд Яраткан, 3",55.762378,49.201052
"Бухарская, 32 К2",55.774897,49.20451
"М Победы, ФЕРМА-2 ЖИЛМАССИВ",55.72238,49.167356
"Ярдем, 3",55.738733,49.159531
"Родины, 27",55.767124,49.202426
"Гали, 10Б",55.750738,49.228845
"Горьковское, 2А",55.825345,49.04169
"Яратам Жк, К1",55.773849,49.206657
"Ульянова-ленина, 47",55.785883,49.134585
"Затонская, 12",55.802204,48.973904
"Мкр Октябрьский Городок, 3",55.796127,49.106414
"Миля, 4",55.846098,49.093936
"Ярдем, 23",55.738221,49.153126
"Космонавтов, 61А",55.79519,49.204717
"Мкр Октябрьский Городок, 3А",55.796127,49.106414
"Бухарская, 4",55.773363,49.200171
"Миля, 3",55.845815,49.093137
"Притяжение Жк, 2",55.766375,49.193587
"Приволжская, 210С1",55.799821,48.955425
"Родины, 11",55.770846,49.20106
"Мкр Теплоконтроль, 2",55.746152,49.14143
"Баруди, 24/22",55.824106,49.0697
"Приволжская, 210С3",55.80064,48.954437
"Олонецкая, 6А",55.812646,49.198976
"Кутуя, 181Ж",55.765974,49.193551
"Переулок Односторонки Гривки, 10",55.812712,49.089624
"Мкр Теплоконтроль, 3",55.746152,49.14143
"Родины, 2",55.776062,49.194422
"Тукая, 90",55.775662,49.117284
"Родины, 20",55.764379,49.200189
"Щербаковский Переулок, 7",55.785655,49.130785
"Курынова, 4",55.799446,49.243416
"Проезд Созидателей, 7",55.759856,49.198698
"Бухарская, 3 К1",55.777201,49.198455
"Халитова, 10",55.818058,49.198303
"Нокса Парк Жилой Комплекс, 5",55.805614,49.22527
"Свобода Жилой Комплекс, С1",55.814487,49.138879
"Дубравная, 26",55.737811,49.205633
"Мечта Жк, 5",55.777722,49.186175
"Солдатская, 3",55.817183,49.10168
"Яратам Жилой Комплекс, К1",55.773849,49.206657
"Ачинская, 1",55.739899,49.149318
"Р.Гареева, 78Б",55.796127,49.106414
"Терегулова, 14",55.735439,49.205866
"Проезд Яраткан, 4А",55.761806,49.199704
"Нокса Парк Жк, 2",55.805655,49.224282
"Мой Ритм Жк, П К1-2",55.78324,49.208786
"Родины, 33В",55.760621,49.197728
"Родины, 26А",55.763579,49.194539
"Родины, 26",55.761578,49.194934
"Мкр Октябрьский Городок, 10",55.796127,49.106414
"Проезд Яраткан, 5",55.761745,49.202237
"Ломжинская, 30А",55.766577,49.230471
"Нежметдинова, 11 К4",55.803322,49.235062
"Терегулова, 12",55.735662,49.207744
"Хасанова, 15",55.778892,49.184657
"Бухарская, 2",55.773034,49.199866
"Восход, 16А",55.832308,49.074775
"25 Октября, 5",55.814588,49.062477
"Мечта Жилой Комплекс, 3",55.778882,49.18463
"Зорге, 11В",55.765048,49.188969
"Гали, 29",55.750783,49.247009
"Гвардейская, 48/2",55.778178,49.171533
"Мой Ритм Жк, П К1-1",55.78324,49.208786
"Проезд Юнуса Ахметзянова, 10",55.797367,49.186696
"Кариева, 4",55.78526,49.18543
"Р.Гареева, 117",55.796127,49.106414
"Нежметдинова, 11 К5",55.802796,49.236247
"Урам, 1",55.805042,49.199399
"Дубравная, 17А",55.739412,49.215487
"Портовая, 37",55.769276,49.094359
"Ерина, 5Д",55.681661,49.191565
"Шоссейный Переулок, 7",55.809459,49.081854
"Гаврилова, 1",55.827646,49.15875
"Большая, 76",55.796456,49.057968
"Мой Ритм Жк, П К14",55.786278,49.216772
"Проезд Яраткан, 6/15",55.761462,49.201519
"Московская, 2",55.792473,49.101482
"Мечта Жилой Комплекс, С2",55.778274,49.185627
"Дубрава 20 Жк, ДУБРАВА 2.0 Ж К",55.737289,49.205884
"Родины, 24",55.762936,49.197332
"Мкр Октябрьский Городок, 8",55.796127,49.106414
"Сказочный Лес Жк, 4.1",55.721584,49.174497
"Спартаковская, 119/25",55.773084,49.144494
"Четаева, 2/77",55.821138,49.151168
"Щапова, 9ЛИТ11",55.790534,49.126797
"Жуковского, 17/44",55.796759,49.129653
"Ершова, 66Б",55.799052,49.18136
"Хасанова, 19",55.778249,49.185538
"Зорге, 11Б",55.764825,49.185044
"Нежметдинова, 11 К2",55.803823,49.23384
"Светлая Долина Жк, 2-3",55.800094,49.241808
"Ачинская, 24",55.73853,49.149452
"Горьковское, 2А К3",55.826311,49.042247
"Кутуя, 98",55.782076,49.187595
"Некрасова, 13",55.788636,49.128306
"Мечта Жилой Комплекс, С3",55.778882,49.18463
"Сиберово Жилой Комплекс, 1",55.819029,49.18817
"Приволжская, 210С6",55.80143,48.952524
"Горьковское, 23А",55.824668,49.033686
"Нокса Парк Жилой Комплекс, 7",55.806236,49.22633
"Ломжинская, 14В",55.766324,49.225549
"Хайруллина, 5",55.770411,49.152749
"Гончарова, 58",55.814963,49.072907
"Заслонова, 38/1",55.780279,49.150773
"Приволжская, 210С5",55.801192,48.953179
"Проезд Созидателей, 12",55.760641,49.202058
"Муштари, 6А",55.78852,49.137379
"Ямашева, 115А",55.820749,49.159388
"Шишкина, 3",55.752496,49.158831
"Лето Жк, 6",55.805999,49.227722
"Университетская, 1/51",55.786323,49.117957
"Тукая, 71",55.777798,49.115909
"Гаврилова, 5",55.827934,49.163915
"Козина, 6",55.814952,49.140173
"Али, 13",55.768897,49.104608
"Островского, 116",55.776436,49.139544
"Лево-Булачная, 54",55.785746,49.115613
"Козина, 9",55.814396,49.138816
"Свобода Жилой Комплекс, С2",55.814487,49.138879
"Московская, 48",55.786789,49.109657
"Шахиди, 18/18",55.786774,49.104033
"Атласи, 28",55.784572,49.148293
"Меховщиков, 72",55.765281,49.100988
"Оренбургский, 8/3",55.737223,49.16414
"Шаляпина, 7",55.77157,49.141529
"Тельмана, 20",55.799785,49.122575
"Роторная, 1А",55.76446,49.15371
"Островского, 34",55.786404,49.11944
"Ершова, 65",55.802244,49.182097
"Шаляпина, 26",55.771135,49.139993
"Свобода Жк, С1",55.814487,49.138879
"Проезд Юнуса Ахметзянова, 3А",55.800145,49.183319
"Лево-Булачная, 24/20",55.791415,49.107636
"Камала, 39",55.781013,49.105812
"Меховщиков, 80А",55.762829,49.10141
"Тукая, 112",55.772917,49.119709
"Садыковой, 25",55.776467,49.114687
"Лево-Булачная, 50",55.786591,49.114463
"Красная, 6",55.797883,49.128522
"Оренбургский, 8/1",55.737223,49.16414
"Ершова, 65В",55.802472,49.18048
"Ершова, 34/1",55.794426,49.172979
"Свобода Жк, С2",55.814487,49.138879
"Мой Ритм Жк, П К9",55.786278,49.216772
"Али, 3",55.768993,49.106055
"Хакима, 62А",55.814275,49.147422
"Кулагина, 9А",55.742534,49.13392
"Япеева, 18",55.801536,49.116897
"Серова, 41А",55.824476,49.074093
"Такташа, 98",55.768415,49.1326
"Джалиля, 11/9",55.792382,49.11193
"Южно-Промышленная, 13",55.720956,49.123284
"Джалиля, 6/1",55.791122,49.111229
"Нариманова, 68",55.780461,49.108804
"Танковая, 2",55.752242,49.167059
"Козина, 8",55.813415,49.141161
"Хакима, 62",55.815079,49.143865
"Лево-Булачная, 34",55.790175,49.109127
"Габишева, 16А",55.743036,49.230786
"Овражная, 52",55.787062,49.139831
"Сибирский, 34 К9",55.817466,49.184235
"Малая Крыловка, 52",55.82177,49.076365
"Нокса Парк Жк, 6",55.806338,49.225584
"Красная, 61",55.796425,49.138062
"Адмиралтейская, 2",55.803514,49.056423
"Мкр Теплоконтроль, 33-Й ВОЕННЫЙ ГОРОДО К",55.737537,49.154968
"Меховщиков, 40А",55.768339,49.09806
"Островского, 112",55.777236,49.137073
"Хакима, 56В",55.813754,49.138942
"Островского, 9/3",55.790297,49.113322
"Кремлевская, 23/17",55.793333,49.11749
"25 Октября, 5Б",55.814497,49.063142
"Девятаева, 1 К3",55.772613,49.091259
"Садыковой, 51А",55.772856,49.118496
"Вишневского, 16",55.783853,49.149012
"Проезд Созидателей, 11",55.760768,49.200279
"Проезд Созидателей, 9",55.760494,49.199596
"Мкр Кварталы 38, 7/69",55.796127,49.106414
"Мечта Жилой Комплекс, 5",55.777722,49.186175
"Татарстан, 2/3",55.781722,49.116215
"Лево-Булачная, 24/1",55.791678,49.107438
"Маркса, 11А",55.797508,49.113699
"Зайни Султана, 19",55.779595,49.114328
"Гаврилова, 5В К2",55.829416,49.162298
"Московская, 15",55.792225,49.104348
"Низенькая, 4",55.784552,49.137199
"Нариманова, 66",55.780618,49.10839
"Ершова, 64В",55.797969,49.179501
"Даурская, 46",55.768461,49.188286
"Красная, 2",55.797225,49.128378
"Проезд Юнуса Ахметзянова, 8",55.797695,49.185834
"Хакима, 4",55.812818,49.108274
"Переулок Кирова, 3",55.791709,49.106594
"Ф.Амирхана, 12ЛИТА",55.832186,49.136301
"Спартаковская, 88А",55.768962,49.150422
"Профсоюзная, 23/12",55.788555,49.12235
"Ломжинская, 12А",55.766385,49.225028
"Гаврилова, 5Б К1",55.829466,49.161454
"Камала, 1/48",55.78688,49.112963
"Большая, 77",55.796106,49.058156
"Федосеевская, 58А",55.801976,49.121353
"Ершова, 29А",55.79428,49.16873
"Курынова, 5 К3",55.799553,49.239706
"Зинина, 2/14",55.791795,49.155974
"Р.Гареева, 125",55.796127,49.106414
"Шаляпина, 28",55.771196,49.140963
"Курынова, 5 К2",55.79936,49.240766
"Портовая, 3",55.771808,49.103926
"Годовикова, 25",55.861651,49.097341
"Пушкина, 60/40А",55.795833,49.126033
"Бутлерова, 39/18",55.789011,49.134307
"Урицкого, 1",55.802998,49.057294
"Дежнева, 4",55.817739,49.080686
"25 Октября, 5А К2",55.813597,49.06228
"Кутуя, 86/8",55.780416,49.189409
"Даурская, 4",55.763584,49.141053
"Ершова, 62Б",55.795509,49.178818
"Муштари, 13ЛИТА",55.790205,49.135492
"Приволжская, 210С7",55.801728,48.951886
"Спартаковская, 84",55.770806,49.147575
"Проезд Детский, 6",55.678869,49.198958
"Восход, 18",55.834366,49.073814
"Карбышева, 9/21",55.765179,49.178881
"Можайского, 15 К1",55.821795,49.032285
"Светлая Долина Жилой Комплекс, 2-2",55.800175,49.242967
"Челюскина, 12",55.855593,49.076204
"Карима, 3",55.859675,48.897277
"Ферма-2 Жк, 90",55.720961,49.16953
"Центральная, 35",55.744075,49.270671
"Мкр Теплоконтроль, 117",55.746152,49.14143
"Лукина, 50А",55.869329,49.097485
"Проезд Детский, 8",55.678352,49.199794
"Трамвайная, 15/2",55.858342,49.09002
"Северополюсная, 26",55.871809,49.083112
"Ф.Амирхана, 10А К2",55.828698,49.135088
"Речная, 13",55.910765,49.159765
"Счастливая, 13",55.701516,49.151626
"Зимняя, 11",55.851172,48.880506
"Нежметдинова, 11",55.803929,49.235035
"Нежметдинова, 11 К3",55.803398,49.236221
"Мкр Теплоконтроль, 10",55.746152,49.14143
"Халезова, 7",55.868258,49.224057
"Проезд Детский, 1 К2",55.680072,49.198276
"Сабит, 19",55.749243,49.256316
"Миля, 7",55.845597,49.091322
"Авангардная, 90А",55.736067,49.144233
"Столярова, 9А",55.797893,49.064202
"Казем-бека, 6",55.716833,49.187101
"Ф.Амирхана, 34А",55.841837,49.138538
"Светлая Долина Жилой Комплекс, 17.2",55.80399,49.2349
"Бондаренко, 5А",55.826286,49.104519
"Черноморская, 11",55.820804,49.103638
"М Победы, М14 М КР",55.714475,49.187927
"М Победы, 76",55.749962,49.208588
"Гудованцева, 43 К4",55.876849,49.019619
"Сказочный Лес Жилой Комплекс, 4.1",55.721584,49.174497
"Техническая, 39",55.757121,49.128548
"Станция Спортивная Жилой Комплекс, 2.2",55.679042,49.203172
"Побежимова, 47А",55.859367,49.08109
"Ф.Амирхана, 4А",55.829052,49.136067
"Дубравная, 33 К1",55.739164,49.208463
"Татарстан, 47",55.776846,49.109055
"Подлужная, 40",55.80103,49.140981
"Камала, 45",55.780147,49.105597
"Мкр Теплоконтроль, 1",55.746152,49.14143
"2-я Гаражная, 4 К1",55.745225,49.108498
"Космонавтов, 73",55.796936,49.211014
"Ягодная, 45",55.845213,49.215946
"Дубравная, 53 К1",55.739174,49.200809
"Фучика, 12 К1",55.741612,49.202408
"Тар Урам, 3",55.857195,49.072772
"Проезд Детский, 1 К1",55.679732,49.197593
"8 Марта, 7/24",55.812509,49.181531
"Победы, 100А",55.770558,49.220895
"Мкр Октябрьский Городок, 1 К151",55.796127,49.106414
"Зорге, 103",55.743928,49.22271
"Мкр Теплоконтроль, 5 К3",55.746152,49.14143
"Вагапова, 24/16",55.783858,49.235448
"Мкр Теплоконтроль, 12",55.746152,49.14143
"Нокса Парк Жк, 8",55.80569,49.226267
"Приволжская, 210С2",55.800301,48.955003
"Урам, 4",55.805993,49.199551
"Переулок Аланлык, 43",55.744029,49.242572
"Мусина, 59В",55.827929,49.121479
"Гарифьянова, 38А",55.749679,49.200926
"Техническая, 43",55.758797,49.128001
"Мкр Теплоконтроль, 110",55.746152,49.14143
"Дубравная, 43",55.738733,49.205067
"Аметьевская магистраль, 22А",55.766293,49.170841
"Ильича, 25",55.821376,48.897771
"Большая Красная, 179",55.797468,49.124569
"Мкр Теплоконтроль, 84",55.746152,49.14143
"Старо-Аракчинская, 41Б",55.801657,48.96872
"Мкр Теплоконтроль, 4",55.746152,49.14143
"Медовая, 1А К2",55.874642,49.24435
"Глушко, 8А",55.7828,49.236391
"Авангардная, 62 К2",55.745083,49.142436
"Урам, 5",55.80531,49.197395
"Спартаковская, 57",55.768861,49.154923
"Адо, 13",55.715535,49.18578
"Урицкого, 11 К1",55.801597,49.058363
"Кремлевская, 1",55.796405,49.109675
"Восстания, 41",55.833198,49.083336
"Казем-бека, 8",55.716103,49.188915
"Юбилейная, 1",55.825725,49.029527
"Уютная, 2",55.733528,49.190829
"Гагарина, 91",55.836954,49.082106
"Яна Юдина, 26",55.821674,48.904563
"Дементьева, 28",55.859716,49.104186
"Пер Дорожный, 6",55.800539,49.212972
"Тансык, 15/22",55.864924,48.873894
"Мкр Теплоконтроль, 142/1",55.746152,49.14143
"Ф.Амирхана, 1",55.815246,49.131603
"Уютная, 8",55.732874,49.19179
"Пер Ноксинский, 4",55.766273,49.248824
"Авангардная, 62 К5",55.744966,49.140649
"Коммунаров, 1/6А1",55.818518,49.080947
"Интернатная, 8",55.846421,48.896783
"Гагарина, 11В",55.84032,49.096056
"Алтан, 70",55.748625,49.246309
"Мкр Теплоконтроль, 8",55.746152,49.14143
"Оренбургский, 207",55.733624,49.185358
"Мкр Теплоконтроль, 89",55.746152,49.14143
"Нокса Парк Жк, 7",55.806236,49.22633
"Поселковая, 3",55.80403,49.064085
"Глушко, 45/24",55.788525,49.225836
"Губкина, 25 К2",55.805538,49.192095
"Ильича, 33/27",55.822094,48.896621
"Кошевого, 10А",55.855729,49.093856
"Мкр Теплоконтроль, 118",55.746152,49.14143
"Проезд Детский, 5",55.679651,49.200566
"Интернациональная, 16Б",55.808978,49.267886
"Ютазинская, 6Б",55.841362,49.038915
"Тансык, 9/6",55.867228,48.877945
"Кутузова, 10А",55.867485,49.055066
"Мкр Теплоконтроль, 14",55.746152,49.14143
"Нокса Парк Жилой Комплекс, 1",55.805614,49.22527
"Победы, 29/57",55.75131,49.20804
"Яратам Жилой Комплекс, К6",55.773246,49.206576
"Станция Спортивная Жк, 2.2",55.679042,49.203172
"Зорге, 66",55.747976,49.210394
"Мкр Теплоконтроль, 5 К2",55.746152,49.14143
"Гафури, 1",55.772755,49.10318
"Мечта Жк, 4",55.778274,49.185627
"Сиберово Жк, 1",55.819029,49.18817
"Минская, 73 К3",55.770011,49.245446
"Южно-Промышленная, 11",55.718867,49.12535
"Лето Жилой Комплекс, 1",55.808665,49.229843
"Мкр Октябрьский Городок, 1/110",55.84309,49.27006
"Усманова, 3/2",55.82892,49.078458
"Алтан, 74",55.748853,49.247234
"Нокса Парк Жк, 1",55.805614,49.22527
"Дементьева, 28А",55.860251,49.104447
"Приволжская, 102 К3",55.808837,48.923822
"Маршрутная, 16",55.821664,49.033731
"Бойничная, 10",55.777682,49.148329
"Нокса Парк Жилой Комплекс, 3",55.805614,49.22527
"Лазурная, 4",55.732722,49.190649
"Белые Росы, 15",55.713791,49.185358
"Гагарина, 77А",55.837844,49.091816
"Светлая Долина Жилой Комплекс, 11 К4",55.803337,49.235089
"Магаданская, 18А",55.768177,49.164158
"Дачная, 3",55.76835,49.166619
"Чистопольская, 88А",55.817213,49.145572
"Лушникова, 8С1",55.820637,49.087037
"Зорге, 100 К1",55.742387,49.220141
"Мкр Теплоконтроль, 142/6",55.746152,49.14143
"М Победы, 9А М КР",55.749962,49.208588
"Фучика, 12 К3",55.741247,49.201869
"Светлая Долина Жилой Комплекс, 17.4",55.80399,49.2349
"Четаева, 44Б",55.823363,49.122314
"Мой Ритм Жилой Комплекс, 2П К",55.788464,49.208768
"Рахлина, 11",55.802411,49.241431
"Аметьевская магистраль, 34",55.768491,49.170527
"Горького, 21",55.794204,49.134504
"Тунакова, 55",55.836539,49.084091
"Лето Жилой Комплекс, 2",55.807643,49.230274
"Глушко, 9А",55.781798,49.23481
"Ленская, 4",55.824577,49.084073
"Агрономическая, 17",55.775834,49.146542
"Мкр Октябрьский Городок, 1/150",55.843373,49.270276
"Фучика, 55Б",55.743446,49.204124
"Монтажников, 26",55.796127,49.106414
"Оренбургский, 160 К2",55.735185,49.176249
"Серова, 6Б",55.826159,49.063987
"Годовикова, 1",55.856932,49.096074
"Чуйкова, 51А",55.836666,49.1364
"Ботаническая, 8/6",55.768912,49.136292
"Лето Жилой Комплекс, 7",55.808665,49.229843
"Фучика, 12 К4",55.741252,49.202462
"Восстания, 47",55.832262,49.079357
"Проезд Детский, 3",55.679636,49.199372
"Сибирский, 34",55.815752,49.182753
"Мусина, 50",55.827949,49.123518
"Минская, 73 К1",55.770816,49.244485
"Рабочей Молодежи, 11",55.781919,49.153935
"Светлая Долина Жилой Комплекс, 2-4",55.799578,49.241619
"Мкр Октябрьский Городок, 1/149",55.843555,49.270177
"Миля, 25",55.848008,49.09744
"Максимова, 22",55.861676,49.091008
"Восстания, 92",55.83246,49.053117
"Джалиля, 7",55.791688,49.111292
"Сибирский, 34 К4",55.81692,49.183858
"Чапаева, 19/10",55.865339,49.082375
"Оренбургский, 5 К3",55.737223,49.16414
"Р.Гареева, 76",55.796127,49.106414
"Халитова, 4А",55.819327,49.186292
"Нокса Парк Жк, 5",55.805614,49.22527
"Агрономическая, 7",55.776416,49.145428
"Ноксинская, 17",55.804071,49.241808
"Заречная, 19",55.806287,49.264113
"Менделеева, 20",55.760236,49.246919
"Вяземская, 2",55.865647,49.232115
"Тансык, 11/7",55.866359,48.874146
"Дачная, 4",55.69935,49.088843
"Мухамедьярова, 34",55.839992,49.075539
"Димитрова, 2/4",55.815843,49.055569
"3 Кленовая, 9",55.876612,49.233553
"Переулок Мира, 6",55.798586,49.253226
"Орная, 42А",55.749846,49.167544
"Казанская, 54",55.819302,49.259083
"Ново-давликеевская, 29",55.711549,49.149183
"Центральная, 29",55.744196,49.26935
"Набережная, 2В",55.799401,49.043748
"Юсупова, 10/7",55.857978,48.896038
"Переулок Боковой, 9",55.770163,49.266018
"Нижняя, 1",55.819499,48.892471
"3 Кленовая, 9Б К2",55.875804,49.236939
"Тунакова, 62",55.83389,49.084333
"Пер Боковой, 9",55.770163,49.266018
"Большая Красная, 78",55.801136,49.229851
"Лесная, 1",55.735657,49.241296
"Аланлык, 6",55.74447,49.236652
"Водстрой, 8",55.876309,49.246794
"Химиков, 6",55.879733,49.010905
"Ватутина, 1",55.765458,49.124255
"Сибирский, 35",55.820521,49.179061
"Советская, 24",55.815964,49.267599
"Зайцева, 5А",55.770932,49.104393
"Дачная, 5",55.769362,49.166853
"3-я Таежная, 1Б",55.842256,49.228774
"Нижняя, 9",55.819297,48.88904
"Водстрой, 6",55.875102,49.24674
"Менделеева, 22А",55.760236,49.248393
"Революционная, 43/19",55.818629,48.899712
"Нариманова, 60",55.781053,49.10813
"Южно-Промышленная, 1Б",55.729518,49.097691
"Интернациональная, 32",55.806596,49.269674
"Краснооктябрьская, 11",55.81044,49.189984
"Интернациональная, 15",55.809014,49.269171
"Коновалова, 31Б",55.813587,49.201617
"Ленина, 1А",55.878172,49.141592
"Дубравная, 61 К1",55.742113,49.207744
"Балтийская, 2",55.866551,49.076626
"Пархоменко, 2",55.822008,49.038555
"Менделеева, 20Б",55.760388,49.247971
"Телецентра, 10/6",55.823854,49.034459
"Горьковское, 160А",55.847063,48.925152
"Халезова, 2/19",55.869789,49.225207
"Большая Красная, 181",55.797468,49.124569
"Залесная, 2Б",55.847669,48.916223
"Водстрой, 5",55.874981,49.247207
"Мира, 9",55.86643,49.23101
"40 лет Победы, 14",55.680651,49.124012
"Вагонная, 12",55.80651,48.948266
"Мира, 11",55.866258,49.230319
"Интернациональная, 36",55.807491,49.270662
"Липатова, 9",55.869753,49.220437
"М Победы, 78",55.749962,49.208588
"Ильича, 4",55.817562,48.901859
"Лесгафта, 19",55.787082,49.144377
"Менделеева, 18",55.760028,49.247162
"Интернациональная, 5Б",55.806449,49.266979
"Гвардейская, 37 К14",55.783281,49.171227
"Коновалова, 31",55.813652,49.201842
"Кооперативная, 6",55.888644,49.198186
"Кулагина, 1",55.742189,49.142185
"Ферма-2 Жк, 98",55.722178,49.167661
"Арбузова, 12/38",55.813516,49.188727
"Мкр Кварталы 68, 68-Й  КВ-Л",55.823014,49.140819
"Оренбургский 10-й Километр, 1",55.709216,49.184774
"Ноксинская, 2",55.805741,49.239158
"Тазетдинова, 8А",55.808356,49.228612
"Такташа, 115/1",55.768805,49.133516
"Оренбургский, 20",55.760347,49.147934
"Роторная, 9А",55.765159,49.15407
"Симонова, 45",55.866319,49.091322
"Вишневского, 6/44",55.787467,49.150413
"Р.Гареева, 108",55.796127,49.106414
"Волкова, 43",55.784946,49.139822
"Мкр Квартал 56, 56-Й  КВ-Л",55.823793,49.100045
"Кутуя, 83А",55.784592,49.187424
"Статный Жк, 1",55.81651,49.19841
"Зорге, 104",55.740887,49.22262
"Мавлютова, 7/22",55.756179,49.190227
"Танковая, 57",55.754973,49.174452
"Палитра Жк, 6 К3",55.722781,49.184379
"Светлая Долина Жк, 2-2",55.800175,49.242967
"Фермское Ш, 39",55.721285,49.156809
"Совхозная, 30А",55.799699,49.214616
"Восстания, 82",55.83385,49.057959
"Нокса Парк Жк, 4",55.805655,49.224282
"Халитова, 2Д",55.81868,49.185097
"Шигабутдина Марджани, 22",55.779287,49.118586
"Кутуя, 163А",55.768821,49.191017
"Лядова, 1",55.852117,49.083597
"Нокса Парк Жилой Комплекс, 4",55.805655,49.224282
"Карима, 2/22",55.779266,49.118451
"Победы, 157",55.799041,49.211984
"Деловая, 9/16",55.815301,49.060591
"Кутуя, 2",55.785539,49.163376
"Гвардейская, 54И",55.768319,49.175261
"Малая Крыловка, 53",55.82177,49.076365
"Карбышева, 12АБЛО КА",55.752283,49.17032
"Ботаническая, 10",55.768274,49.135915
"Победы, 57",55.776937,49.209235
"Шмидта, 42/9",55.788748,49.157474
"Тэцевская, 6",55.853905,49.029752
"Аметьевская магистраль, 18",55.766293,49.170841
"Светлая Долина Жилой Комплекс, 2-3",55.800094,49.241808
"Тунакова, 51/38",55.833764,49.083687
"Баруди, 1",55.81821,49.063205
"Шакирова, 18",55.860782,48.900394
"Зорге, 102",55.741414,49.221794
"Энтузиастов, 2",55.871849,49.226043
"Ферма-2 Жилой Комплекс, 98А",55.722649,49.167787
"Шакирова, 26",55.862919,48.899164
"Залесный Сити Жк, 1.4",55.845046,48.905317
"Искра, 1/4",55.796931,49.172054
"Богатырева, 13",55.815671,49.048437
"Камая, 1/47",55.751224,49.180094
"Боевая, 147А",55.80103,49.002335
"Фучика, 74/14",55.757116,49.232178
"Березовая, 33",55.712457,49.185358
"Залесный Сити Жилой Комплекс, 3.1",55.845046,48.905317
"Окольная, 94 К1",55.829896,49.057222
"Кариева, 12",55.786946,49.188664
"Шакирова, 22",55.861812,48.899631
"Станция Спортивная Жилой Комплекс, 1 К8",55.679686,49.200557
"М Победы, 80",55.749962,49.208588
"Ямашева, 65Б",55.82619,49.131252
"Нокса Парк Жилой Комплекс, 2",55.805655,49.224282
"Медовая, 1А",55.875299,49.243093
"Авиахима, 53 К2",55.783843,49.163691
"Апастовская, 11А",55.839294,49.109944
"Ильича, 54",55.82442,48.898912
"Сибирский, 1",55.801946,49.173195
"Арбузова, 5 К1",55.814462,49.188053
"Мусина, 53Б",55.832727,49.12297
"Дубравная, 2",55.739904,49.22412
"Красная, 22А",55.797852,49.117257
"Мкр Теплоконтроль, 5 К1",55.746152,49.14143
"Космонавтов, 61",55.79681,49.206693
"Вишневского, 4/53",55.7885,49.150961
"Садыковой, 2",55.77838,49.111498
"Минская, 61 К2",55.771135,49.244593
"Победы, 3А",55.737517,49.182977
"Исмаила Гаспринского, 29",55.77633,49.112927
"Аметьевская магистраль, 12",55.770421,49.172395
"Космонавтов, 71",55.796557,49.209999
"Кутуя, 42/31",55.786794,49.171784
"Гвардейская, 37 К17",55.782187,49.171156
"Миля, 9",55.845673,49.09214
"Скрябина, 8 К1",55.769489,49.201043
"2-я Аракчинская, 43",55.800286,49.011947
"Проезд Яраткан, 3А",55.762718,49.201968
"Ф.Амирхана, 12",55.831969,49.135097
